Role;Given name;Family name;Affiliation;Email;Homepage
General Chair;Thomas;Eiter;TU Vienna;;
Program Co-Chairs;Diego;Calvanese;Free University of Bozen-Bolzano;;
Program Co-Chairs;Georg;Lausen;University of Freiburg;;
Local Chair;Sebastian;Rudolph;University of Karlsruhe;;
Steering Committee;Harold;Boley;University of New Brunswick;;
Steering Committee;Francois;Bry;University of Munich;;
Steering Committee;Thomas;Eiter;Technische Universität Wien;;
Steering Committee;Pascal;Hitzler;University of Karlsruhe;;
Steering Committee;Michael;Kifer;State University of New York;;
Steering Committee;Massimo;Marchiori;UNIPD;;
Steering Committee;Jeff;Z. Pan;University of Aberdeen;;
Steering Committee;Riccardo;Rosati;Universita di Roma La Sapienza;;
Steering Committee;Christian;de Sainte Marie;ILOG;;
Steering Committee;Bruce;Spencer;University of New Brunswick;;
Steering Committee;Holger;Wache;University of Applied Sciences Northwestern Switzerland;;
Program Committee;Jose;Alferes;Universidade Nova de Lisboa;;
Program Committee;Jürgen;Angele;Ontoprise GmbH, Karlsruhe;;
Program Committee;Gregoris;Antoniou;University of Crete;;
Program Committee;Marcelo;Arenas;Pontificia Universidad Catolico de Chile;;
Program Committee;Uwe;Assmann;Technische Universität Dresden;;
Program Committee;Chitta;Baral;Arizona State University;;
Program Committee;Leopoldo;Bertossi;Carleton University, Ottawa;;
Program Committee;Jos;de Bruijn;Free University of Bozen-Bolzano;;
Program Committee;Christoph;Bussler;BEA Systems, Inc.;;
Program Committee;Andrea;Cali;University of Oxford;;
Program Committee;Mike;Dean;BBN Technologies;;
Program Committee;Hendrik;Decker;Ciudad Politécnica de la Innovación, Valencia;;
Program Committee;Jürgen;Dix;Universität Clausthal;;
Program Committee;Christine;Golbreich;University of Versailles Saint-Quentin;;
Program Committee;John;Goodwin;Ordnance Survey;;
Program Committee;Gianluigi;Greco;Università della Calabria;;
Program Committee;Claudio;Gutierrez;University of Chile, Santiago;;
Program Committee;Giovambattista;Ianni;Università della Calabria;;
Program Committee;Manolis;Koubarakis;National and Kapodistrian University of Athens;;
Program Committee;Domenico;Lembo;Sapienza Università di Roma;;
Program Committee;Francesca;A. Lisi;Università di Bari;;
Program Committee;Bertram;Ludaescher;University of California, Davis;;
Program Committee;Thomas;Lukasiewicz;Sapienza University of Rome;;
Program Committee;Carsten;Lutz;Technische Universität Dresden;;
Program Committee;Jan;Maluszynski;University of Linköping;;
Program Committee;Wolfgang;May;University of Göttingen;;
Program Committee;Ralf;Möller;Technische Universität Hamburg;;
Program Committee;Boris;Motik;University of Oxford;;
Program Committee;Wolfgang;Nejdl;LS3 and University of Hannover;;
Program Committee;Daniel;Oberle;SAP AG;;
Program Committee;P.F.;Patel-Schneider;Bell Labs;;
Program Committee;Axel;Polleres;National University of Ireland, Galway;;
Program Committee;Guilin;Qi;University of Karlsruhe;;
Program Committee;Dave;Reynolds;HP Labs;;
Program Committee;Marie-Christine;Rousset;University of Grenoble;;
Program Committee;Ulrike;Sattler;University of Manchestor;;
Program Committee;Sebastian;Schaffert;Salzburg Research Forschungsgesellschaft;;
Program Committee;Roman;Schindlauer;TU Wien;;
Program Committee;Michael;Sintek;DFKI GmbH, Kaiserslautern;;
Program Committee;Giorgos;Stamou;National Technical University of Athens;;
Program Committee;Umberto;Straccia;ISTI - C.N.R Pisa;;
Program Committee;Heiner;Stuckenschmidt;University of Mannheim;;
Program Committee;York;Sure;SAP AG;;
Program Committee;Sergio;Tessaris;Free University of Bozen-Bolzano;;
Program Committee;Rodney;Topor;University of Griffith;;
Program Committee;Dirk;Vermeir;University of Brussels;;
Program Committee;David;Warren;SUNY at Stony Brook;;
Program Committee;P.T.;Wood;University of London;;
Program Committee;Guizhen;Yang;SRI;;
